# Energies per box
# Cycle, LJ_Inter, LJ_tail, LJ_Inter_Total, EL_Real, EL_Excl, EL_Self, EL_Four,                                                EL_Inter, LJ_Intra, EL_Intra, E_Bending, E_Torsion, E_Total
      2000  -0.4406204973E+006  -0.6553259321E+004  -0.4471737566E+006  -0.1148125869E+006   0.6338176539E+007  -0.6358069506E+007   0.8797177747E+004  -0.1259083762E+006   0.0000000000E+000   0.0000000000E+000   0.1459215745E+006   0.0000000000E+000  -0.4271605583E+006
      2100  -0.4543736989E+006  -0.6811324481E+004  -0.4611850234E+006  -0.1070517161E+006   0.6338195674E+007  -0.6358069506E+007   0.8997845238E+004  -0.1179277027E+006   0.0000000000E+000   0.0000000000E+000   0.1350660900E+006   0.0000000000E+000  -0.4440466361E+006
      2200  -0.4507779115E+006  -0.6725846892E+004  -0.4575037583E+006  -0.1184962910E+006   0.6338198536E+007  -0.6358069506E+007   0.8707655546E+004  -0.1296596053E+006   0.0000000000E+000   0.0000000000E+000   0.1334391493E+006   0.0000000000E+000  -0.4537242143E+006
      2300  -0.4626306943E+006  -0.6703996013E+004  -0.4693346903E+006  -0.1083415932E+006   0.6338230098E+007  -0.6358069506E+007   0.8371820620E+004  -0.1198091806E+006   0.0000000000E+000   0.0000000000E+000   0.1154719749E+006   0.0000000000E+000  -0.4736718960E+006
      2400  -0.4532624476E+006  -0.6622109592E+004  -0.4598845572E+006  -0.1092048841E+006   0.6338255920E+007  -0.6358069506E+007   0.8503390415E+004  -0.1205150800E+006   0.0000000000E+000   0.0000000000E+000   0.1008672493E+006   0.0000000000E+000  -0.4795323879E+006
      2500  -0.4529959818E+006  -0.6662294013E+004  -0.4596582758E+006  -0.9529326136E+005   0.6338259301E+007  -0.6358069506E+007   0.9126913579E+004  -0.1059765530E+006   0.0000000000E+000   0.0000000000E+000   0.9896040493E+005   0.0000000000E+000  -0.4666744239E+006
      2600  -0.4525235862E+006  -0.6728895066E+004  -0.4592524812E+006  -0.1079469933E+006   0.6338257109E+007  -0.6358069506E+007   0.8732412270E+004  -0.1190269784E+006   0.0000000000E+000   0.0000000000E+000   0.1001952356E+006   0.0000000000E+000  -0.4780842240E+006
      2700  -0.4571921855E+006  -0.6636779628E+004  -0.4638289651E+006  -0.1077797710E+006   0.6338275615E+007  -0.6358069506E+007   0.9286609275E+004  -0.1182870534E+006   0.0000000000E+000   0.0000000000E+000   0.8974711848E+005   0.0000000000E+000  -0.4923689000E+006
      2800  -0.4660612798E+006  -0.6758330167E+004  -0.4728196100E+006  -0.1087876888E+006   0.6338257982E+007  -0.6358069506E+007   0.9002951030E+004  -0.1195962622E+006   0.0000000000E+000   0.0000000000E+000   0.9970070253E+005   0.0000000000E+000  -0.4927151697E+006
      2900  -0.4481813223E+006  -0.6606390652E+004  -0.4547877130E+006  -0.9939854605E+005   0.6338258556E+007  -0.6358069506E+007   0.8749301445E+004  -0.1104601947E+006   0.0000000000E+000   0.0000000000E+000   0.9937651643E+005   0.0000000000E+000  -0.4658713912E+006
